City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
165,rafraf,TN,2020-01-09 01:30:18,37.19,10.18,51.8,93,40,4.7,scattered clouds,0.0,0.0
166,lithakia,GR,2020-01-09 01:30:19,37.72,20.83,42.01,80,0,12.01,clear sky,0.0,0.0
167,mezhdurechenskiy,RU,2020-01-09 01:30:19,59.59,65.91,6.12,93,0,9.22,clear sky,0.0,0.0
168,sao filipe,CV,2020-01-09 01:30:19,14.9,-24.5,65.82,75,96,21.09,overcast clouds,0.0,0.0
169,ketchikan,US,2020-01-09 01:30:19,55.34,-131.65,32.0,96,1,2.84,clear sky,0.0,0.0
170,peniche,PT,2020-01-09 01:30:20,39.36,-9.38,55.99,100,75,6.93,broken clouds,0.0,0.0
171,los llanos de aridane,ES,2020-01-09 01:30:20,28.66,-17.92,64.4,68,90,12.75,overcast clouds,0.0,0.0
172,gisborne,NZ,2020-01-09 01:30:20,-38.66,178.02,69.01,51,43,4.0,light rain,0.19,0.0
173,padang,ID,2020-01-09 01:30:20,-0.92,100.36,81.99,62,79,3.71,broken clouds,0.0,0.0
174,canico,PT,2020-01-09 01:30:21,32.63,-16.85,62.6,59,40,11.41,scattered clouds,0.0,0.0
175,sao joao da barra,BR,2020-01-09 01:30:21,-21.64,-41.05,77.0,91,100,16.35,overcast clouds,0.0,0.0
176,guider,CM,2020-01-09 01:30:22,9.93,13.94,69.21,31,0,9.46,clear sky,0.0,0.0
177,saskylakh,RU,2020-01-09 01:30:22,71.97,114.09,-2.72,95,98,7.72,overcast clouds,0.0,0.0
178,gizo,IL,2020-01-09 01:30:22,31.8,34.94,51.01,100,75,4.7,thunderstorm with rain,0.0,0.0
179,makakilo city,US,2020-01-09 01:29:04,21.35,-158.09,80.6,64,20,16.11,few clouds,0.0,0.0
180,manacapuru,BR,2020-01-09 01:30:22,-3.3,-60.62,80.6,83,20,4.7,few clouds,0.0,0.0
181,aklavik,CA,2020-01-09 01:30:23,68.22,-135.01,-16.6,67,75,2.24,light snow,0.0,0.0
182,dongsheng,CN,2020-01-09 01:30:23,29.72,112.52,39.25,92,100,9.86,light rain,0.56,0.0
183,brae,GB,2020-01-09 01:30:23,60.4,-1.35,44.89,65,60,19.6,light rain,0.5,0.0
184,luderitz,NA,2020-01-09 01:30:23,-26.65,15.16,64.4,77,0,8.05,clear sky,0.0,0.0
185,binga,ZW,2020-01-09 01:30:24,-17.62,27.34,74.68,89,100,1.99,moderate rain,3.25,0.0
186,menomonie,US,2020-01-09 01:28:33,44.88,-91.92,15.01,65,1,10.29,clear sky,0.0,0.0
187,khani,GE,2020-01-09 01:30:24,41.96,42.96,44.6,87,90,2.24,light rain,0.0,0.0
188,okha,RU,2020-01-09 01:30:24,53.59,142.95,6.58,91,80,14.97,broken clouds,0.0,0.0
189,pokrovsk,RU,2020-01-09 01:30:24,61.48,129.14,4.66,93,99,5.68,light snow,0.0,0.13
190,cabo san lucas,MX,2020-01-09 01:27:43,22.89,-109.91,72.0,60,20,4.7,few clouds,0.0,0.0
191,spearfish,US,2020-01-09 01:30:25,44.49,-103.86,37.4,92,90,8.05,overcast clouds,0.0,0.0
192,nchelenge,ZM,2020-01-09 01:30:25,-9.35,28.74,67.64,95,100,9.4,light rain,2.63,0.0
193,vostok,RU,2020-01-09 01:30:25,46.45,135.83,12.34,89,87,2.73,overcast clouds,0.0,0.0
194,pisco,PE,2020-01-09 01:30:25,-13.71,-76.2,71.6,88,90,19.46,overcast clouds,0.0,0.0
195,wanning,AT,2020-01-09 01:30:26,48.64,13.53,37.99,100,75,3.36,broken clouds,0.0,0.0
196,clyde river,CA,2020-01-09 01:30:26,70.47,-68.59,-14.8,83,90,4.7,light snow,0.0,0.0
197,syracuse,US,2020-01-09 01:30:26,43.05,-76.15,23.0,67,90,23.04,light snow,0.0,0.0
198,soyo,AO,2020-01-09 01:30:26,-6.13,12.37,73.8,95,100,4.23,moderate rain,11.38,0.0
199,san cristobal,HN,2020-01-09 01:30:27,14.68,-86.92,60.78,96,25,2.51,scattered clouds,0.0,0.0
200,butembo,CD,2020-01-09 01:30:28,0.12,29.29,60.3,94,55,2.8,light rain,2.13,0.0
201,jalu,LY,2020-01-09 01:30:28,29.03,21.55,47.73,70,17,7.2,few clouds,0.0,0.0
202,kaa-khem,RU,2020-01-09 01:30:28,51.7,94.56,-6.84,98,98,0.51,light snow,0.0,0.13
203,sur,OM,2020-01-09 01:30:29,22.57,59.53,62.8,61,0,2.51,clear sky,0.0,0.0
204,ibotirama,BR,2020-01-09 01:26:42,-12.18,-43.22,73.38,85,7,2.39,light rain,0.44,0.0
205,lasem,ID,2020-01-09 01:30:29,-6.99,112.52,87.89,64,9,7.16,clear sky,0.0,0.0
206,bowen,AU,2020-01-09 01:30:29,-20.01,148.25,90.0,55,40,14.99,scattered clouds,0.0,0.0
207,oistins,BB,2020-01-09 01:30:24,13.07,-59.53,78.8,74,40,18.34,scattered clouds,0.0,0.0
208,vangaindrano,MG,2020-01-09 01:30:30,-23.35,47.6,72.72,95,28,2.28,scattered clouds,0.0,0.0
209,carnarvon,ZA,2020-01-09 01:30:30,-30.97,22.13,61.57,65,0,8.99,clear sky,0.0,0.0
210,huaraz,PE,2020-01-09 01:30:30,-9.53,-77.53,44.51,74,71,0.4,light rain,0.81,0.0
211,blue springs,US,2020-01-09 01:27:30,39.02,-94.28,53.01,56,1,5.82,clear sky,0.0,0.0
212,kurgunta,IN,2020-01-09 01:30:30,17.2,77.35,69.73,80,32,7.9,scattered clouds,0.0,0.0
213,amahai,ID,2020-01-09 01:30:31,-3.31,129.0,82.76,72,98,2.57,overcast clouds,0.0,0.0
214,larap,PH,2020-01-09 01:30:31,14.3,122.65,79.12,82,6,15.23,light rain,0.19,0.0
215,uvat,RU,2020-01-09 01:30:31,59.14,68.9,2.68,97,90,7.38,overcast clouds,0.0,0.0
216,ginda,IN,2020-01-09 01:30:31,30.69,78.49,29.64,89,0,4.52,clear sky,0.0,0.0
217,mingyue,CN,2020-01-09 01:30:31,43.11,128.91,17.49,71,59,8.72,broken clouds,0.0,0.0
218,anloga,GH,2020-01-09 01:30:32,5.79,0.9,78.85,80,77,6.71,broken clouds,0.0,0.0
219,broome,GB,2020-01-09 01:30:32,52.47,1.45,50.0,93,90,11.41,light rain,0.0,0.0
220,kijang,KR,2020-01-09 01:30:32,35.24,129.21,39.2,60,99,13.87,overcast clouds,0.0,0.0
221,chota,EC,2020-01-09 01:30:32,0.47,-78.07,49.8,69,0,8.5,clear sky,0.0,0.0
222,hasanabad,IR,2020-01-09 01:30:32,35.37,51.24,41.0,64,75,3.36,broken clouds,0.0,0.0
223,arraial do cabo,BR,2020-01-09 01:30:33,-22.97,-42.02,77.0,94,100,2.57,overcast clouds,0.0,0.0
224,hirara,JP,2020-01-09 01:30:33,24.8,125.28,68.0,60,75,8.05,broken clouds,0.0,0.0
225,mogadishu,SO,2020-01-09 01:30:33,2.04,45.34,79.14,83,100,20.07,overcast clouds,0.0,0.0
226,axim,GH,2020-01-09 01:30:33,4.87,-2.24,75.36,82,86,2.37,overcast clouds,0.0,0.0
227,belyy yar,RU,2020-01-09 01:30:33,53.6,91.39,3.2,84,100,0.38,fog,0.0,0.0
228,viedma,AR,2020-01-09 01:30:34,-40.81,-62.99,67.1,25,100,26.98,overcast clouds,0.0,0.0
229,tianpeng,CN,2020-01-09 01:30:34,28.88,112.34,40.91,90,100,9.1,light rain,0.81,0.0
230,ribeira grande,PT,2020-01-09 01:30:34,38.52,-28.7,56.79,85,33,5.91,scattered clouds,0.0,0.0
231,steinbach,CA,2020-01-09 01:30:34,49.53,-96.69,3.0,77,90,20.8,light snow,0.0,0.0
232,chokurdakh,RU,2020-01-09 01:30:34,70.62,147.9,-10.21,97,91,5.59,overcast clouds,0.0,0.0
233,saint-philippe,CA,2020-01-09 01:30:35,45.36,-73.48,19.4,62,75,18.34,light snow,0.0,0.0
234,tynda,RU,2020-01-09 01:30:35,55.15,124.74,-2.54,92,53,2.35,broken clouds,0.0,0.0
235,aguimes,ES,2020-01-09 01:30:35,27.91,-15.45,64.4,63,40,14.99,scattered clouds,0.0,0.0
